Player_ID,First_Name,Last_Name,Current_Team_ID,Current_Team_Full_Name,Current_Team_Name,Position,Current_Team_Abbr,Current_Team_City,Current_Team_Conf,Current_Team_Div
2960,Jerrod,Mustaf,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
2961,Kiki,Vandeweghe,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
2962,Mark,Jackson,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
2963,Maurice,Cheeks,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
2964,Patrick,Ewing,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
2965,Mark,Bryant,25,Portland Trail Blazers,Trail Blazers,,POR,Portland,West,Northwest
2966,Dana,Barros,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2967,Derrick,McKey,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2968,Gary,Payton,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2969,Michael,Cage,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2970,Olden,Polynice,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2971,Quintin,Dailey,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2972,Sedale,Threatt,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2973,Shawn,Kemp,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2974,Xavier,McDaniel,21,Oklahoma City Thunder,Thunder,,OKC,Oklahoma City,West,Northwest
2975,Tree,Rollins,9,Detroit Pistons,Pistons,,DET,Detroit,East,Central
2976,Pervis,Ellison,30,Washington Wizards,Wizards,,WAS,Washington,East,Southeast
2977,Stuart,Gray,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
2978,Trent,Tucker,20,New York Knicks,Knicks,,NYK,New York,East,Atlantic
2979,Frank,Kornet,17,Milwaukee Bucks,Bucks,,MIL,Milwaukee,East,Central
2980,David,Greenwood,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
2981,David,Robinson,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
2982,Paul,Pressey,27,San Antonio Spurs,Spurs,,SAS,San Antonio,West,Southwest
